Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Offinso North,A.M.E Zion Clinic,Clinic,Afrancho,CHAG,7.408010,-1.963170
Ashanti,Bekwai Municipal,Abenkyiman Clinic,Clinic,Anwiankwanta,Private,6.463120,-1.585920
Ashanti,Adansi North,Aboabo Health Centre,Health Centre,Aboabo No 2,Government,6.223930,-1.349820
Ashanti,Afigya-Kwabre,Aboabogya Health Centre,Health Centre,Aboabogya,Government,6.841770,-1.610980
Ashanti,Kwabre,Aboaso Health Centre,Health Centre,Aboaso,Government,6.841770,-1.610980
Ashanti,Offinso North,Aboffour Health Centre,Health Centre,Aboffour,Government,7.129860,-1.732940
Ashanti,Atwima-Nwabiagya,Abuakwa Maternity Home,Maternity Home,Abuakwa,Private,7.000000,-2.000000
Ashanti,Atwima-Kwanwoma,Aburaso Methodist clinic,Clinic,Aburaso,CHAG,6.661330,-1.676620
Ashanti,Ejisu-Juaben Municipal,Achiase Health Centre,Health Centre,Achiase,Government,6.455430,-1.310040
Ashanti,Mampong Municipal,Adidwan Health Centre,Health Centre,Adidwan,Government,7.251630,-1.402780
Ashanti,Amansie West,Adimposo CHPS,CHPS,Adimposo,Government,6.336590,-1.925880
Ashanti,Asante-Akim North Municipal,Adom Hospital,Hospital,Akratiebesa,Private,6.618790,-1.192020
Ashanti,Ahafo-Ano South,Adom Maternity Home,Maternity Home,Adinyana,Private,6.883640,-1.873340
Ashanti,Afigya-Kwabre,Adwumakase Kese Health Centre,Health Centre,Adwumakase Kese,Government,6.808130,-1.539330
Ashanti,Sekyere South,Afamaso Maternity Home,Maternity Home,Afamaso,Private,6.949120,-1.508730
Ashanti,Sekyere Central,Aframso Health Centre,Health Centre,Aframso No.3,Government,7.144720,-1.121620
Ashanti,Afigya-Kwabre,Afrancho Health Centre,Health Centre,Afrancho,Government,6.815270,-1.595890
Ashanti,Asante-Akim North Municipal,Agogo Presby Hospital,Hospital,Agogo,CHAG,6.796180,-1.085290
Ashanti,Sekyere South,Agona Health Centre,Health Centre,Agona,Government,6.936050,-1.497590
Ashanti,Ejisu-Juaben Municipal,Agyenkwa Clinic,Clinic,Hwireso,Private,6.675220,-1.381590
Ashanti,Obuasi Municipal,Agyenkwa Clinic,Clinic,New  Estate-Obuasi,Private,6.208980,-1.671030
Ashanti,Atwima-Kwanwoma,Ahenema kokoben Health Centre,Health Centre,Ahenema kokoben,Government,6.625970,-1.649780
Ashanti,Afigya-Kwabre,Ahenkro Health Centre,Health Centre,Ahenkro,Government,6.871550,-1.640090
Ashanti,Sekyere East,Ahmadiya Muslim Hospital,Hospital,Effiduase,Private,6.845340,-1.383660
