OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area,region_value,district_value
49,Polygon,Asunafo North Municipal,GH0101,<Null>,<Null>,<Null>,Ahafo,GH01,Ghana,GH,26.10.18,08.03.21,<Null>,1.766499,0.115468,47.3,51.72025033
50,Polygon,Asunafo South,GH0102,<Null>,<Null>,<Null>,Ahafo,GH01,Ghana,GH,26.10.18,08.03.21,<Null>,1.992593,0.075519,47.3,50.14428354
52,Polygon,Asutifi North,GH0103,<Null>,<Null>,<Null>,Ahafo,GH01,Ghana,GH,26.10.18,08.03.21,<Null>,1.52901,0.076589,47.3,51.69502284
53,Polygon,Asutifi South,GH0104,<Null>,<Null>,<Null>,Ahafo,GH01,Ghana,GH,26.10.18,08.03.21,<Null>,1.607569,0.048876,47.3,50.06366707
229,Polygon,Tano North Municipal,GH0105,<Null>,<Null>,<Null>,Ahafo,GH01,Ghana,GH,26.10.18,08.03.21,<Null>,1.387174,0.068575,47.3,50.47179773
230,Polygon,Tano South Municipal,GH0106,<Null>,<Null>,<Null>,Ahafo,GH01,Ghana,GH,26.10.18,08.03.21,<Null>,1.13154,0.040031,47.3,48.09761568
12,Polygon,Adansi Akrofuom,GH0201,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,1.100275,0.046413,48.1,50.64920025
13,Polygon,Adansi Asokwa,GH0202,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,1.510252,0.048659,48.1,50.06306677
14,Polygon,Adansi North,GH0203,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,0.792272,0.021093,48.1,52.23787985
15,Polygon,Adansi South,GH0204,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,1.596134,0.062162,48.1,49.28336762
18,Polygon,Afigya Kwabre North,GH0205,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,0.755655,0.015282,48.1,52.71681747
19,Polygon,Afigya Kwabre South,GH0206,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,0.667102,0.018272,48.1,50.40508954
23,Polygon,Ahafo Ano North,GH0207,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,1.228005,0.04857,48.1,49.3616455
24,Polygon,Ahafo Ano South East,GH0208,<Null>,<Null>,<Null>,Ashanti,GH02,Ghana,GH,26.10.18,08.03.21,<Null>,1.285119,0.056133,48.1,51.34837365
